Komponente;Zusatztext;Bezeichnung;Bezeichner
Zentrale 2;Johanneshaus;Z/2;
Primärleitung 224;;P/224;
Primärleitung 231;Kloster der Heimsuchung;P/231;
Primärleitung 232;Johanneshaus;P/232;
Meldergruppe 60;HFM KG Johanneshaus Flur;G/60;
Melder 60/1;HFM KG Flur RA 812;M/60/1;
Meldergruppe 61; KG Johanneshaus Flur TH;G/61;
Melder 61/1;KG HAR RA 813;M/61/1;
Melder 61/2;KG  Flur TH RA 812;M/61/2;
Meldergruppe 62;KG Johanneshaus Technik;G/62;
Melder 62/5;KG Flur RA 807;M/62/5;
Melder 62/3;KG Hausmeister RA 803;M/62/3;
Melder 62/2;KG Flur RA 802;M/62/2;
Melder 62/1;KG Heizung RA 801;M/62/1;
Melder 62/10;KG Aufzugsraum RA 811;M/62/10;
Melder 62/9;KG Flur RA 810;M/62/9;
Melder 62/11;KG Abstellraum RA 814;M/62/11;
Melder 62/12;KG WC RA 809;M/62/12;
Melder 62/4;KG Flur RA 807;M/62/4;
Melder 62/8;KG PuMi RA 806;M/62/8;
Melder 62/7;KG Notlicht RA 805;M/62/7;
Melder 62/6;KG Technik EDV RA804;M/62/6;
Meldergruppe 63;KG BMZ Umschrank;G/63;
Melder 63/1;KG BMZ Umschrank;M/63/1;
Meldergruppe 70;HFM EG Johanneshaus  ;G/70;
Melder 70/1;HFM EG Eingang RA 628;M/70/1;
Melder 70/2;HFM EG Flur RA 623;M/70/2;
Meldergruppe 71;HFM EG Johanneshaus WB;G/71;
Melder 71/1;HFM EG WB Flur RA 621;M/71/1;
Meldergruppe 72;HFM EG Johanneshaus Flur;G/72;
Melder 72/1;HFM EG WB Flur RA 617;M/72/1;
Meldergruppe 73;HFM EG Johanneshaus WB;G/73;
Melder 73/1;HFM EG Wohnbereich RA 620;M/73/1;
Meldergruppe 74;EG Johanneshaus ;G/74;
Melder 74/3;EG Flur Eingang RA 628;M/74/3;
Melder 74/1;EG Mehrzwegraum RA 625;M/74/1;
Melder 74/2;EG Mehrzwegraum RA 625;M/74/2;
Melder 74/4;EG Flur Eingang RA 623;M/74/4;
Melder 74/6;EG Flur Eingang RA 623;M/74/6;
Melder 74/5;EG Nebenraum RA 612;M/74/5;
